#distancia	items
0	13921
1	384
2	534
3	448
4	446
5	720
6	1156
7	2168
8	3504
9	5418
10	8872
11	14866
12	24750
13	40800
14	62912
15	90844
16	123860
17	162372
18	211000
19	271750
20	346886
21	437798
22	540080
23	662542
24	797894
25	947788
26	1114816
27	1300584
28	1517032
29	1746528
30	1978464
31	2210572
32	2449838
33	2712236
34	3012294
35	3352268
36	3756410
37	4253868
38	4880154
39	5654076
40	6641958
41	7896032
42	9429370
43	11217864
44	13035234
45	14461428
46	15016530
47	14280322
48	12231550
49	9312172
50	6276828
51	3703116
52	1891556
53	823716
54	314384
55	111136
56	39602
57	15478
58	7968
59	5872
60	1680
