#distancia	items
0	18806
1	4098
2	4480
3	8086
4	15828
5	30626
6	43656
7	61288
8	93938
9	159420
10	257780
11	399984
12	528096
13	633254
14	755026
15	901204
16	1021682
17	1147752
18	1289720
19	1490030
20	1725982
21	2003442
22	2298572
23	2580346
24	2812020
25	3036152
26	3290850
27	3533870
28	3759324
29	3917224
30	4080370
31	4241684
32	4394220
33	4533430
34	4631086
35	4701590
36	4767802
37	4798386
38	4819010
39	4908022
40	5089704
41	5390832
42	5781218
43	6254256
44	6734958
45	7100964
46	7097030
47	6631528
48	5718416
49	4501562
50	3248368
51	2182036
52	1404908
53	852568
54	484410
55	251768
56	119300
57	52636
58	17722
59	6198
60	2798
