#ITEMS_CATEG	different	same
1034	0.6831890481	0.8220221217
2943	0.676890396	0.7541751325
12354	0.6181486237	0.7572407501
13093	0.7784493688	0.8075200641
15796	0.7632068612	0.7887798692
15964	0.7444769999	0.811472351
19032	0.7402953501	0.7831882062
22421	0.6253077064	0.7684735951
26903	0.7279135824	0.7536488309
27788	0.6133031381	0.749332833
29426	0.7530836781	0.8197314763
29475	0.8033592506	0.8012059935
30420	0.873191752	0.8488240137
34603	0.8053754235	0.8593361797
36280	0.7539341277	0.8261793076
36957	0.7699074699	0.8314359119
39612	0.7089084238	0.8077905545
46530	0.793449611	0.8456035449
