#ITEMS_CATEG	different	same
1034	0.6298567163	0.7844265835
2943	0.7017655176	0.7560405066
12354	0.6304995874	0.7635495134
13093	0.7778047472	0.803686351
15796	0.7384045648	0.7890543473
15964	0.7633931123	0.8007128665
19032	0.7427505176	0.779975982
22421	0.6584586357	0.7702920724
26903	0.7448943174	0.7496026963
27788	0.5894198753	0.7476407041
29426	0.7406355446	0.8215806806
29475	0.7737159942	0.8018892777
30420	0.7942386579	0.8439913207
34603	0.7756256474	0.8314777495
36280	0.7633742565	0.7871777787
36957	0.7526522778	0.7951424658
39612	0.7278105322	0.7818841883
46530	0.8716091691	0.8146578201
